,sample_name,422.4,486.3,670,818.1,940.5,970.3,996.2,1005.4,1412.8,1461.8,1900.9,1932.2,2057.2,2151.3,2156.5,2222.1,2269,2324.3,2329.1,Porosity (%)
48,K1_06,0.891,0.9321,0.9974,1.0,0.9942,0.9972,0.9908,0.9842,0.9869,0.9899,0.9374,0.9036,0.9739,0.9964,0.9934,0.9595,0.9233,0.8696,0.8655,8.81
49,K1_06,0.8659,0.9182,0.9983,1.0,0.9949,0.998,0.993,0.9878,0.9842,0.9865,0.9275,0.9033,0.9755,0.9944,0.9914,0.958,0.9307,0.8679,0.8623,8.81
50,K1_06,0.8796,0.9354,0.9996,0.9999,0.9939,0.9967,0.9925,0.9865,0.984,0.9874,0.9347,0.9082,0.9752,0.9956,0.9915,0.9585,0.9408,0.8962,0.8912,8.81
51,K1_06,0.8685,0.923,0.9977,0.9999,0.9954,0.9994,0.9927,0.985,0.9808,0.9851,0.9275,0.8921,0.9718,0.9944,0.9907,0.958,0.931,0.8735,0.8681,8.81
52,K1_08,0.883,0.9067,0.987,1.0,0.9959,0.9986,0.993,0.9872,0.9767,0.9775,0.918,0.8798,0.9802,0.9768,0.9723,0.9574,0.8852,0.777,0.7647,6.86
53,K1_08,0.864,0.8862,0.9757,0.9999,0.9949,0.998,0.9908,0.9839,0.969,0.9714,0.899,0.8579,0.9741,0.9777,0.9735,0.9588,0.8843,0.7755,0.7612,6.86
54,K1_08,0.8439,0.8861,0.9917,1.0,0.9947,0.9984,0.9921,0.9851,0.975,0.9782,0.9129,0.8741,0.9739,0.9831,0.979,0.9596,0.9053,0.814,0.8033,6.86
55,K1_08,0.8485,0.888,0.9918,0.9999,0.9933,0.9978,0.9914,0.9847,0.9751,0.9782,0.9133,0.8742,0.9737,0.9826,0.9784,0.9593,0.9038,0.8117,0.7991,6.86
56,K1_08,0.8363,0.8799,0.9925,1.0,0.9937,0.9987,0.9922,0.9853,0.9766,0.9799,0.9175,0.8801,0.9734,0.983,0.9792,0.9592,0.9078,0.8224,0.8107,6.86
57,K1_09,0.7846,0.8311,0.9751,0.9997,0.9949,0.9951,0.9993,0.998,0.9691,0.9672,0.9123,0.9044,0.9854,0.9898,0.9866,0.9644,0.9133,0.827,0.8168,10.86
58,K1_09,0.7807,0.8298,0.9698,0.9997,0.9962,0.9981,0.9993,0.9979,0.9721,0.9704,0.913,0.9041,0.9858,0.9913,0.9902,0.9595,0.9036,0.8158,0.8068,10.86
59,K1_09,0.797,0.8502,0.999,0.9993,0.9888,0.9934,0.9954,0.9913,0.9787,0.9818,0.9232,0.9004,0.9805,0.9932,0.9899,0.955,0.9056,0.8325,0.8288,10.86
60,K1_09,0.8717,0.8982,0.9821,0.9998,0.9948,0.9973,0.9974,0.9941,0.9827,0.984,0.9202,0.8926,0.9746,0.9935,0.9922,0.9617,0.9021,0.8243,0.8176,10.86
61,K1_09,0.7695,0.8209,0.9651,0.9998,0.9963,0.998,0.9991,0.998,0.9714,0.9713,0.917,0.9101,0.9888,0.9903,0.9888,0.9558,0.9038,0.8139,0.8035,10.86
62,K1_09,0.8059,0.8733,0.9983,1.0,0.9856,0.9876,0.9891,0.9869,0.9672,0.9671,0.9157,0.904,0.9825,0.991,0.9861,0.9619,0.9132,0.8283,0.8189,10.86
63,K2_01,0.891,0.9188,0.9936,0.9996,0.9863,0.9869,0.9887,0.9889,0.971,0.9683,0.9268,0.9167,0.983,0.9965,0.9941,0.9574,0.9001,0.841,0.8421,9.29
64,K2_01,0.8295,0.8614,0.9708,0.9995,0.9971,0.9977,0.9978,0.9983,0.9788,0.978,0.9171,0.9038,0.9831,0.9895,0.9859,0.9619,0.9056,0.8123,0.8022,9.29
65,K2_01,0.8205,0.8522,0.9644,1.0,0.9932,0.9933,0.9968,0.9974,0.9747,0.9713,0.914,0.9117,0.9854,0.9888,0.9857,0.9616,0.9026,0.8083,0.7973,9.29
66,K2_02A,0.869,0.9129,0.9999,0.9985,0.9702,0.9696,0.9697,0.97,0.9538,0.9546,0.904,0.8989,0.9758,0.9969,0.995,0.9601,0.9249,0.8749,0.8724,14.15
67,K2_02A,0.7311,0.7831,0.9905,0.9996,0.9749,0.9758,0.9756,0.9747,0.9706,0.9761,0.8896,0.8726,0.9787,0.9932,0.9925,0.9585,0.894,0.7908,0.7804,14.15
68,K2_02A,0.874,0.9188,1.0,0.999,0.9683,0.9674,0.9675,0.9689,0.953,0.9544,0.9094,0.9066,0.981,0.9963,0.9952,0.9569,0.9245,0.8709,0.8674,14.15
69,K2_02B,0.8596,0.8924,0.9981,0.9997,0.9851,0.9866,0.9861,0.9847,0.9698,0.9688,0.9207,0.9034,0.979,0.9934,0.9911,0.9593,0.9174,0.8603,0.8577,1.74
70,K2_02B,0.9051,0.9347,0.998,1.0,0.9817,0.9817,0.9807,0.9787,0.9678,0.9661,0.9149,0.8884,0.9778,0.9917,0.9882,0.9615,0.9009,0.8197,0.8166,1.74
71,K2_02B,0.8894,0.9227,0.9977,0.9998,0.9806,0.9818,0.9816,0.9803,0.9696,0.968,0.9168,0.9014,0.9771,0.9955,0.9937,0.9614,0.904,0.8309,0.8286,1.74
72,K2_04A,0.7623,0.8203,0.9896,1.0,0.9855,0.9885,0.986,0.9797,0.9751,0.9802,0.893,0.8582,0.9645,0.9914,0.989,0.9591,0.9123,0.8295,0.8219,3.07
73,K2_04A,0.7918,0.8462,0.9946,0.9997,0.9859,0.9884,0.9866,0.9825,0.9746,0.9795,0.8946,0.8684,0.9682,0.9956,0.9918,0.9604,0.917,0.8369,0.8281,3.07
74,K2_04A,0.8498,0.9072,0.9976,0.9999,0.9878,0.9903,0.9838,0.9776,0.979,0.9836,0.913,0.8758,0.9682,0.9978,0.9937,0.9547,0.925,0.8691,0.8663,3.07
75,K2_04A,0.8685,0.9185,0.9956,1.0,0.9871,0.9903,0.9872,0.9828,0.981,0.9847,0.92,0.8877,0.9752,0.9982,0.9957,0.9561,0.9194,0.865,0.8614,3.07
76,K2_04B,0.853,0.9005,0.9975,0.9997,0.9764,0.9757,0.98,0.9816,0.964,0.9639,0.9117,0.9162,0.9842,0.991,0.9886,0.9583,0.9215,0.8562,0.8487,17.67
77,K2_04B,0.8369,0.8895,0.9965,1.0,0.9772,0.9774,0.98,0.981,0.9572,0.9567,0.902,0.9046,0.9835,0.9869,0.9846,0.9574,0.9072,0.8232,0.8135,17.67
78,K2_04B,0.8455,0.8963,0.9994,0.9999,0.9778,0.9784,0.9807,0.9817,0.9565,0.9567,0.9063,0.9079,0.9841,0.9885,0.9861,0.9589,0.9174,0.8478,0.8382,17.67
79,K2_04B,0.8614,0.9129,0.9995,0.9999,0.9788,0.9792,0.9816,0.9831,0.9603,0.9604,0.9096,0.9162,0.9832,0.9892,0.9851,0.9576,0.9196,0.8507,0.8432,17.67
80,K2_05,0.8326,0.8796,0.9893,0.9999,0.983,0.9867,0.9814,0.9749,0.9664,0.9688,0.8855,0.8415,0.9686,0.9819,0.9787,0.9568,0.8984,0.7973,0.7835,15.23
81,K2_05,0.8366,0.8884,0.9907,0.9995,0.9871,0.9909,0.9848,0.979,0.9697,0.974,0.8993,0.8599,0.9702,0.9828,0.9806,0.9583,0.9081,0.8172,0.8056,15.23
82,K2_05,0.8358,0.886,0.9891,0.9999,0.9836,0.9862,0.9795,0.9742,0.9673,0.9711,0.895,0.8528,0.9713,0.9817,0.978,0.9574,0.9023,0.8041,0.7912,15.23
83,K2_05,0.8378,0.8858,0.9892,1.0,0.9862,0.9891,0.9838,0.9781,0.9712,0.9756,0.9036,0.8633,0.9719,0.9824,0.9781,0.9554,0.9043,0.8114,0.798,15.23
84,K2_06,0.8725,0.9116,0.9998,0.9998,0.9847,0.9873,0.9869,0.9855,0.9665,0.971,0.8906,0.8679,0.974,0.9915,0.9905,0.9614,0.9262,0.8448,0.8338,14.91
85,K2_06,0.8479,0.897,0.9994,0.9994,0.9843,0.9864,0.9861,0.9836,0.9662,0.9692,0.9025,0.8848,0.9758,0.9924,0.9904,0.9618,0.9401,0.8827,0.8737,14.91
86,K2_06,0.8696,0.9151,0.9998,1.0,0.9866,0.9883,0.9896,0.9881,0.9605,0.9622,0.9085,0.8987,0.9731,0.9945,0.9922,0.9621,0.9474,0.9037,0.899,14.91
87,K2_07,0.8643,0.8952,0.989,0.9997,0.9962,0.9979,0.9974,0.9929,0.9775,0.9801,0.9162,0.8894,0.977,0.989,0.9854,0.9599,0.9161,0.8373,0.8276,16.06
88,K2_07,0.8644,0.8928,0.9882,0.9999,0.9917,0.9939,0.9946,0.9889,0.9714,0.9747,0.9008,0.8759,0.9756,0.9862,0.9828,0.958,0.9022,0.8039,0.791,16.06
89,K2_07,0.8542,0.8931,0.9879,0.9999,0.9958,0.9987,0.9971,0.9913,0.9759,0.9795,0.9093,0.8826,0.97,0.9898,0.9862,0.9621,0.9203,0.8409,0.8324,16.06
90,K2_08,0.8593,0.8912,0.9916,1.0,0.9846,0.9859,0.9861,0.9846,0.9756,0.9773,0.9069,0.8862,0.9793,0.985,0.9816,0.96,0.8978,0.7878,0.774,17.06
91,K2_08,0.8128,0.86,0.9833,0.9999,0.987,0.9885,0.989,0.989,0.9761,0.9777,0.9111,0.9017,0.9801,0.9876,0.9842,0.9598,0.9085,0.8058,0.7912,17.06
92,K2_08,0.8436,0.8947,0.9971,1.0,0.9836,0.9861,0.9836,0.9809,0.9784,0.9813,0.9229,0.901,0.9777,0.9951,0.9905,0.957,0.918,0.8507,0.8453,17.06
93,SAL01_BA,0.7042,0.7107,0.9813,0.9371,0.8322,0.8323,0.8387,0.8336,0.8606,0.9823,0.9121,0.9019,0.9976,0.9693,0.9686,0.7538,0.7893,0.5758,0.5555,1.141
94,SAL01_BA,0.6805,0.6885,0.9805,0.935,0.8255,0.8257,0.8318,0.827,0.8554,0.9822,0.9116,0.9058,0.9988,0.9675,0.967,0.7458,0.7846,0.57,0.5502,1.141
95,SAL01_CB,0.4909,0.5028,0.9733,0.9322,0.8129,0.8167,0.8271,0.8248,0.8601,0.9561,0.8598,0.8549,0.9972,0.9628,0.9589,0.8193,0.7585,0.5366,0.5217,2.428
96,SAL01_CB,0.5251,0.5288,0.9755,0.936,0.818,0.822,0.8332,0.8317,0.8638,0.958,0.8627,0.8607,0.9971,0.9638,0.9621,0.821,0.7639,0.546,0.5309,2.428
97,SAL01_CB,0.5103,0.5166,0.9749,0.9351,0.8151,0.8186,0.8294,0.8286,0.8624,0.9572,0.8609,0.8587,0.9972,0.9628,0.9606,0.8203,0.7619,0.5426,0.5271,2.428
98,SAL01_DA,0.6964,0.6833,0.9793,0.9339,0.8217,0.8218,0.8281,0.8233,0.8367,0.9312,0.7823,0.7839,0.9899,0.9467,0.9397,0.8454,0.752,0.5245,0.5075,1.015
99,SAL01_DA,0.6954,0.6785,0.9785,0.9345,0.821,0.8215,0.8275,0.8238,0.8391,0.9337,0.7891,0.7926,0.9906,0.9483,0.9402,0.8451,0.7571,0.5347,0.5178,1.015
100,SAL01_DA,0.7058,0.6948,0.9827,0.9408,0.8355,0.8346,0.8394,0.8366,0.8389,0.9335,0.789,0.7929,0.9914,0.9446,0.9369,0.8407,0.7502,0.524,0.5079,1.015
101,SAL01_DB,0.829,0.8152,0.9877,0.9302,0.8283,0.8271,0.8366,0.8336,0.9217,0.9748,0.8595,0.8703,0.9965,0.9547,0.9494,0.8964,0.774,0.5569,0.5376,0.797
102,SAL01_DB,0.8337,0.8224,0.9869,0.9263,0.8213,0.8213,0.8301,0.8266,0.9202,0.974,0.86,0.8701,0.9966,0.9528,0.9464,0.8967,0.7672,0.5448,0.5286,0.797
103,SAL01_DC,0.8066,0.7942,0.9839,0.9358,0.8321,0.832,0.8396,0.834,0.8945,0.9703,0.8586,0.8654,0.995,0.9396,0.9332,0.8429,0.7462,0.5126,0.4946,1.158
104,SAL01_DC,0.8158,0.8035,0.9865,0.9368,0.8321,0.8321,0.8383,0.835,0.8959,0.9715,0.8598,0.8729,0.9959,0.9399,0.9335,0.8444,0.7464,0.5157,0.4974,1.158
105,SAL01_GA,0.7071,0.7558,0.9999,0.9528,0.8669,0.8656,0.8707,0.8674,0.9306,0.9803,0.9021,0.8832,0.9956,0.9488,0.9411,0.8857,0.7691,0.5378,0.5189,0.653
106,SAL01_GA,0.6499,0.7074,0.9998,0.9512,0.8588,0.8577,0.8621,0.8588,0.927,0.9793,0.9015,0.8882,0.9972,0.9452,0.9368,0.8811,0.7605,0.5261,0.5062,0.653
107,SAL01_GA,0.6979,0.7403,0.9997,0.9481,0.8536,0.8522,0.8595,0.8566,0.9297,0.9803,0.9027,0.8921,0.9972,0.9482,0.941,0.8833,0.767,0.5422,0.5224,0.653
108,SAL01_GA,0.6834,0.7336,0.9995,0.944,0.8474,0.8458,0.85,0.8467,0.9278,0.9804,0.8993,0.8893,0.9977,0.9489,0.9407,0.8824,0.764,0.5368,0.5197,0.653
109,SAL01_GB,1.0,0.9986,0.9631,0.8969,0.8434,0.8389,0.8412,0.8409,0.8836,0.9176,0.9338,0.9411,0.9922,0.9812,0.9774,0.9035,0.8572,0.6831,0.6678,2.423
110,SAL01_GB,0.9995,0.9974,0.9664,0.9005,0.847,0.841,0.8426,0.8425,0.8888,0.9239,0.9477,0.9535,0.9968,0.9813,0.9767,0.9017,0.8502,0.6693,0.6496,2.423
111,SAL01_GC,0.9909,0.9978,0.9981,0.9446,0.8831,0.8775,0.8817,0.88,0.9116,0.9473,0.9491,0.9516,0.997,0.9724,0.9687,0.8964,0.8148,0.5929,0.5748,0.695
112,SAL01_GC,0.99,0.9976,0.9999,0.9475,0.8832,0.8783,0.8818,0.8805,0.909,0.9432,0.9444,0.9544,0.9969,0.9734,0.9691,0.8987,0.815,0.5928,0.5786,0.695
113,SAL01_GD,0.8999,0.8892,0.9934,0.9466,0.8817,0.8819,0.8843,0.88,0.9245,0.9632,0.8678,0.8348,0.9888,0.9328,0.9238,0.8991,0.7422,0.5124,0.4945,1.302
114,SAL01_GD,0.9157,0.8987,0.9937,0.9478,0.8812,0.8819,0.8844,0.8796,0.9243,0.9631,0.8678,0.8365,0.9888,0.933,0.9241,0.8984,0.7426,0.5128,0.4928,1.302
115,SAL01_GE,0.7812,0.8211,0.9921,0.935,0.8465,0.8465,0.8517,0.8495,0.9225,0.9892,0.9275,0.9278,0.9984,0.9693,0.9639,0.8544,0.8108,0.6276,0.6157,1.725
116,SAL01_GE,0.799,0.8342,0.9937,0.939,0.8524,0.8527,0.8594,0.8565,0.9265,0.99,0.9317,0.9335,0.999,0.9724,0.9681,0.8575,0.8197,0.6515,0.6412,1.725
117,SAL01_GE,0.8048,0.8399,0.9952,0.939,0.8517,0.8528,0.8589,0.8559,0.9255,0.9894,0.9293,0.9305,0.9988,0.9715,0.9678,0.8583,0.8167,0.6435,0.6319,1.725
118,SAL01_J(B),0.9993,0.9989,0.9842,0.9358,0.8855,0.8821,0.8842,0.8845,0.925,0.951,0.9246,0.918,0.9961,0.9598,0.9547,0.9147,0.7716,0.5206,0.4971,1.743
119,SAL01_J(B),0.9999,0.9984,0.9813,0.9311,0.8794,0.8754,0.8813,0.8814,0.9181,0.9433,0.9203,0.9231,0.9965,0.9627,0.9591,0.9151,0.7793,0.5406,0.5155,1.743
120,SAL01_J(C),0.6367,0.7005,0.9906,0.9494,0.8849,0.8889,0.8887,0.8832,0.9196,0.9701,0.8933,0.8601,0.9901,0.9494,0.9463,0.8467,0.7492,0.5228,0.5006,1.658
121,SAL01_J(C),0.6777,0.7389,0.9963,0.9575,0.8964,0.897,0.9014,0.8985,0.9303,0.9754,0.907,0.895,0.9946,0.9532,0.9501,0.8582,0.7668,0.5506,0.531,1.658
122,SAL01_JA,1.0,0.9913,0.9447,0.8943,0.8455,0.8405,0.8427,0.8442,0.8828,0.9178,0.9222,0.9369,0.9958,0.9541,0.9498,0.8988,0.771,0.5407,0.5182,1.128
123,SAL01_JA,1.0,0.9915,0.9441,0.894,0.8451,0.8398,0.8418,0.8422,0.8811,0.916,0.9202,0.9372,0.9965,0.9549,0.9496,0.9002,0.7733,0.5414,0.5225,1.128
124,SAL01_JA,0.9988,0.9914,0.9419,0.8909,0.8393,0.8358,0.8384,0.8392,0.8792,0.9152,0.9211,0.9371,0.9968,0.9526,0.9467,0.8985,0.7645,0.5321,0.5121,1.128
125,SAL01_LA,1.0,0.9913,0.9411,0.8873,0.8326,0.828,0.8321,0.8325,0.8719,0.9087,0.9297,0.943,0.9954,0.9752,0.973,0.904,0.8313,0.6475,0.6326,2.11
126,SAL01_LA,0.9989,0.9929,0.9405,0.8845,0.8267,0.8213,0.8243,0.8251,0.8643,0.9011,0.9253,0.9442,0.9961,0.9765,0.9729,0.9047,0.8286,0.6417,0.6291,2.11
127,SAL01_MI,0.9989,0.9982,0.9932,0.9451,0.8915,0.8905,0.8919,0.891,0.9337,0.9684,0.9132,0.9147,0.9975,0.9509,0.9448,0.9191,0.7763,0.5328,0.5128,1.24
128,SAL01_MI,0.9985,0.9988,0.9979,0.9529,0.8979,0.8948,0.8995,0.8973,0.9288,0.9619,0.9095,0.9133,0.9958,0.9533,0.9463,0.9223,0.7792,0.5394,0.5206,1.24
